"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"CT","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.628","","10/01/2014","09/30/2015"
"DC","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.713","","10/01/2014","09/30/2015"
"DE","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.484","","10/01/2014","09/30/2015"
"FL","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.562","","10/01/2014","09/30/2015"
"GA","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.697","","10/01/2014","09/30/2015"
"GU","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","1.923","","10/01/2014","09/30/2015"
"HI","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.247","","10/01/2014","09/30/2015"
"IA","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.693","","10/01/2014","09/30/2015"
"ID","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.541","","10/01/2014","09/30/2015"
"IL","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.541","","10/01/2014","09/30/2015"
"IN","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.654","","10/01/2014","09/30/2015"
"KS","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.584","","10/01/2014","09/30/2015"
"KY","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.697","","10/01/2014","09/30/2015"
"LA","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.863","","10/01/2014","09/30/2015"
"MA","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.503","","10/01/2014","09/30/2015"
"MD","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2014","09/30/2015"
"ME","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","1.026","","10/01/2014","09/30/2015"
"MI","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.522","","10/01/2014","09/30/2015"
"MN","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.525","","10/01/2014","09/30/2015"
"MO","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.500","","10/01/2014","09/30/2015"
"MP","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","10/01/2014","09/30/2015"
"MS","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.748","","10/01/2014","09/30/2015"
"MT","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.853","","10/01/2014","09/30/2015"
"NC","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.516","","10/01/2014","09/30/2015"
"ND","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.600","","10/01/2014","09/30/2015"
"NE","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.784","","10/01/2014","09/30/2015"
"NH","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","1.043","","10/01/2014","09/30/2015"
"NJ","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.664","","10/01/2014","09/30/2015"
"NM","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.803","","10/01/2014","09/30/2015"
"NV","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.515","","10/01/2014","09/30/2015"
"NY","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.505","","10/01/2014","09/30/2015"
"OH","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.466","","10/01/2014","09/30/2015"
"OK","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.582","","10/01/2014","09/30/2015"
"OR","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.531","","10/01/2014","09/30/2015"
"PA","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.555","","10/01/2014","09/30/2015"
"PR","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.633","","10/01/2014","09/30/2015"
"RI","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.737","","10/01/2014","09/30/2015"
"SC","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.780","","10/01/2014","09/30/2015"
"SD","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.505","","10/01/2014","09/30/2015"
"TN","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.533","","10/01/2014","09/30/2015"
"TX","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.516","","10/01/2014","09/30/2015"
"UT","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.502","","10/01/2014","09/30/2015"
"VA","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.543","","10/01/2014","09/30/2015"
"VI","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","5.993","","10/01/2014","09/30/2015"
"VT","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.827","","10/01/2014","09/30/2015"
"WA","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.482","","10/01/2014","09/30/2015"
"WI","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.476","","10/01/2014","09/30/2015"
"WV","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.526","","10/01/2014","09/30/2015"
"WY","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.785","","10/01/2014","09/30/2015"
"AK","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.223","","10/01/2014","09/30/2015"
"AL","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.661","","10/01/2014","09/30/2015"
"AR","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.492","","10/01/2014","09/30/2015"
"AS","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","10/01/2014","09/30/2015"
"AZ","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.429","","10/01/2014","09/30/2015"
"CA","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.510","","10/01/2014","09/30/2015"
"CO","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.397","","10/01/2014","09/30/2015"
"CT","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.427","","10/01/2014","09/30/2015"
"DC","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.470","","10/01/2014","09/30/2015"
"DE","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.180","","10/01/2014","09/30/2015"
"FL","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.492","","10/01/2014","09/30/2015"
"GA","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.576","","10/01/2014","09/30/2015"
"GU","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","-","","10/01/2014","09/30/2015"
"HI","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.055","","10/01/2014","09/30/2015"
"IA","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.451","","10/01/2014","09/30/2015"
"ID","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.234","","10/01/2014","09/30/2015"
"IL","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.439","","10/01/2014","09/30/2015"
"IN","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.516","","10/01/2014","09/30/2015"
"KS","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.375","","10/01/2014","09/30/2015"
"KY","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.534","","10/01/2014","09/30/2015"
"LA","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.687","","10/01/2014","09/30/2015"
"MA","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.380","","10/01/2014","09/30/2015"
"MD","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2014","09/30/2015"
"ME","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.517","","10/01/2014","09/30/2015"
"MI","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.424","","10/01/2014","09/30/2015"
"MN","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.357","","10/01/2014","09/30/2015"
"MO","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.383","","10/01/2014","09/30/2015"
"MP","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","10/01/2014","09/30/2015"
"MS","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.535","","10/01/2014","09/30/2015"
"MT","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.318","","10/01/2014","09/30/2015"
"NC","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.413","","10/01/2014","09/30/2015"
"ND","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.264","","10/01/2014","09/30/2015"
"NE","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.478","","10/01/2014","09/30/2015"
"NH","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.547","","10/01/2014","09/30/2015"
"NJ","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.533","","10/01/2014","09/30/2015"
"NM","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.499","","10/01/2014","09/30/2015"
"NV","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.363","","10/01/2014","09/30/2015"
"NY","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.431","","10/01/2014","09/30/2015"
"OH","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.378","","10/01/2014","09/30/2015"
"OK","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.428","","10/01/2014","09/30/2015"
"OR","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.326","","10/01/2014","09/30/2015"
"PA","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.471","","10/01/2014","09/30/2015"
"PR","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.256","","10/01/2014","09/30/2015"
"RI","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.359","","10/01/2014","09/30/2015"
"SC","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.598","","10/01/2014","09/30/2015"
"SD","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.153","","10/01/2014","09/30/2015"
"TN","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.425","","10/01/2014","09/30/2015"
"TX","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.452","","10/01/2014","09/30/2015"
"UT","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.293","","10/01/2014","09/30/2015"
"VA","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.417","","10/01/2014","09/30/2015"
"VI","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.789","","10/01/2014","09/30/2015"
"VT","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.220","","10/01/2014","09/30/2015"
"WA","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.341","","10/01/2014","09/30/2015"
"WI","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.327","","10/01/2014","09/30/2015"
"WV","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.333","","10/01/2014","09/30/2015"
"WY","CLABSI Lower Confidence Limit","HAI_1a_CI_LOWER","0.040","","10/01/2014","09/30/2015"
"AK","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.782","","01/01/2015","09/30/2015"
"AL","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.478","","01/01/2015","09/30/2015"
"AR","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.622","","01/01/2015","09/30/2015"
"AS","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","09/30/2015"
"AZ","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.533","","01/01/2015","09/30/2015"
"CA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.649","","01/01/2015","09/30/2015"
"CO","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.527","","01/01/2015","09/30/2015"
"CT","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.579","","01/01/2015","09/30/2015"
"DC","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.734","","01/01/2015","09/30/2015"
"DE","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.559","","01/01/2015","09/30/2015"
"FL","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.530","","01/01/2015","09/30/2015"
"GA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.645","","01/01/2015","09/30/2015"
"GU","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","5 - Results are not available for this reporting period.","01/01/2015","09/30/2015"
"HI","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.428","","01/01/2015","09/30/2015"
"IA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.570","","01/01/2015","09/30/2015"
"ID","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.445","","01/01/2015","09/30/2015"
"IL","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.515","","01/01/2015","09/30/2015"
"IN","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.578","","01/01/2015","09/30/2015"
"KS","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.512","","01/01/2015","09/30/2015"
"KY","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.534","","01/01/2015","09/30/2015"
"LA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.612","","01/01/2015","09/30/2015"
"MA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.664","","01/01/2015","09/30/2015"
"MD","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters.","01/01/2015","09/30/2015"
"ME","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.650","","01/01/2015","09/30/2015"
"MI","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.640","","01/01/2015","09/30/2015"
"MN","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.592","","01/01/2015","09/30/2015"
"MO","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.566","","01/01/2015","09/30/2015"
"MP","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","09/30/2015"
"MS","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.509","","01/01/2015","09/30/2015"
"MT","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.534","","01/01/2015","09/30/2015"
"NC","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.545","","01/01/2015","09/30/2015"
"ND","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.503","","01/01/2015","09/30/2015"
"NE","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.612","","01/01/2015","09/30/2015"
"NH","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.471","","01/01/2015","09/30/2015"
"NJ","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.676","","01/01/2015","09/30/2015"
"NM","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.590","","01/01/2015","09/30/2015"
"NV","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.425","","01/01/2015","09/30/2015"
"NY","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.684","","01/01/2015","09/30/2015"
"OH","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.484","","01/01/2015","09/30/2015"
"OK","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.537","","01/01/2015","09/30/2015"
"OR","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.568","","01/01/2015","09/30/2015"
"PA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.641","","01/01/2015","09/30/2015"
"PR","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.293","","01/01/2015","09/30/2015"
"RI","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.759","","01/01/2015","09/30/2015"
"SC","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.672","","01/01/2015","09/30/2015"
"SD","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.586","","01/01/2015","09/30/2015"
"TN","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.516","","01/01/2015","09/30/2015"
"TX","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.491","","01/01/2015","09/30/2015"
"UT","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.902","","01/01/2015","09/30/2015"
"VA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.577","","01/01/2015","09/30/2015"
"VI","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.524","","01/01/2015","09/30/2015"
"VT","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.495","","01/01/2015","09/30/2015"
"WA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.579","","01/01/2015","09/30/2015"
"WI","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.480","","01/01/2015","09/30/2015"
"WV","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.431","","01/01/2015","09/30/2015"
"WY","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.147","","01/01/2015","09/30/2015"
"AK","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.155","","01/01/2015","09/30/2015"
"AL","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.532","","01/01/2015","09/30/2015"
"AR","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.709","","01/01/2015","09/30/2015"
"AS","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","09/30/2015"
"AZ","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.601","","01/01/2015","09/30/2015"
"CA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.678","","01/01/2015","09/30/2015"
"CO","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.606","","01/01/2015","09/30/2015"
"CT","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.668","","01/01/2015","09/30/2015"
"DC","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.898","","01/01/2015","09/30/2015"
"DE","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.765","","01/01/2015","09/30/2015"
"FL","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.561","","01/01/2015","09/30/2015"
"GA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.698","","01/01/2015","09/30/2015"
"GU","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","2.447","","01/01/2015","09/30/2015"
"HI","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.573","","01/01/2015","09/30/2015"
"IA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.673","","01/01/2015","09/30/2015"
"ID","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.581","","01/01/2015","09/30/2015"
"IL","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.559","","01/01/2015","09/30/2015"
"IN","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.642","","01/01/2015","09/30/2015"
"KS","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.609","","01/01/2015","09/30/2015"
"KY","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.601","","01/01/2015","09/30/2015"
"LA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.677","","01/01/2015","09/30/2015"
"MA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.725","","01/01/2015","09/30/2015"
"MD","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","01/01/2015","09/30/2015"
"ME","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.834","","01/01/2015","09/30/2015"
"MI","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.692","","01/01/2015","09/30/2015"
"MN","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.675","","01/01/2015","09/30/2015"
"MO","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.626","","01/01/2015","09/30/2015"
"MP","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","09/30/2015"
"MS","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.587","","01/01/2015","09/30/2015"
"MT","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.745","","01/01/2015","09/30/2015"
"NC","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.595","","01/01/2015","09/30/2015"
"ND","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.683","","01/01/2015","09/30/2015"
"NE","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.747","","01/01/2015","09/30/2015"
"NH","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.615","","01/01/2015","09/30/2015"
"NJ","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.737","","01/01/2015","09/30/2015"
"NM","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.717","","01/01/2015","09/30/2015"
"NV","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.504","","01/01/2015","09/30/2015"
"NY","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.721","","01/01/2015","09/30/2015"
"OH","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.523","","01/01/2015","09/30/2015"
"OK","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.608","","01/01/2015","09/30/2015"
"OR","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.669","","01/01/2015","09/30/2015"
"PA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.683","","01/01/2015","09/30/2015"
"PR","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.393","","01/01/2015","09/30/2015"
"RI","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.963","","01/01/2015","09/30/2015"
"SC","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.752","","01/01/2015","09/30/2015"
"SD","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.802","","01/01/2015","09/30/2015"
"TN","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.566","","01/01/2015","09/30/2015"
"TX","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.520","","01/01/2015","09/30/2015"
"UT","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.060","","01/01/2015","09/30/2015"
"VA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.638","","01/01/2015","09/30/2015"
"VI","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","2.796","","01/01/2015","09/30/2015"
"VT","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.744","","01/01/2015","09/30/2015"
"WA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.652","","01/01/2015","09/30/2015"
"WI","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.547","","01/01/2015","09/30/2015"
"WV","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.513","","01/01/2015","09/30/2015"
"WY","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.355","","01/01/2015","09/30/2015"
"AK","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.508","","01/01/2015","09/30/2015"
"AL","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.428","","01/01/2015","09/30/2015"
"AR","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.543","","01/01/2015","09/30/2015"
"AS","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","09/30/2015"
"AZ","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.471","","01/01/2015","09/30/2015"
"CA","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.620","","01/01/2015","09/30/2015"
"CO","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.456","","01/01/2015","09/30/2015"
"CT","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.500","","01/01/2015","09/30/2015"
"DC","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.594","","01/01/2015","09/30/2015"
"DE","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.397","","01/01/2015","09/30/2015"
"FL","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.500","","01/01/2015","09/30/2015"
"GA","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.595","","01/01/2015","09/30/2015"
"GU","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","-","","01/01/2015","09/30/2015"
"HI","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.312","","01/01/2015","09/30/2015"
"IA","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.479","","01/01/2015","09/30/2015"
"ID","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.335","","01/01/2015","09/30/2015"
"IL","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.474","","01/01/2015","09/30/2015"
"IN","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.519","","01/01/2015","09/30/2015"
"KS","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.428","","01/01/2015","09/30/2015"
"KY","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.473","","01/01/2015","09/30/2015"
"LA","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.552","","01/01/2015","09/30/2015"
